Tiploc_x,Name_x,Stanox_x,Latitude_x,Longitude_x,InBPlan_x,InTPS_x,CRS_x,Easting,Northing,index,CRS_y,InBPlan_y,InTPS_y,Latitude_y,Longitude_y,Name_y,Stanox_y,Tiploc_y
HERNEH,Herne Hill,87249,51.4536864,-0.1024489,True,True,HNH,531942.7998,174452.3105,109447,HNH,1.0,1.0,51.4536864,-0.1024489,Herne Hill,87249,HERNEH
HERNHSD,Herne Hill Siding,87258,51.4533301,-0.1018886,True,True,,531982.7544,174413.6979,109450,,1.0,1.0,51.4533301,-0.1018886,Herne Hill Siding,87258,HERNHSD
HERRNGE,Herringe,89747,51.1025171,0.9885552,True,True,,609325.8793,137938.349,110946,,1.0,1.0,51.1025171,0.9885552,Herringe,89747,HERRNGE
HERSHAM,Hersham,86003,51.3769116,-0.3894234,True,True,HER,512192.0454,165437.0797,108146,HER,1.0,1.0,51.3769116,-0.3894234,Hersham,86003,HERSHAM
HERT203,Hertford North Gpl 203,53239,51.7994003,-0.071751,True,False,,533061.0015,212952.9982,109532,,1.0,0.0,51.7994003,-0.071751,Hertford *,"53239,51702","HERT203,HERTFDD"
HERT927,Hertford North Gpl Wl1927,53244,51.7947532,-0.0918591,True,True,,531688.0768,212399.7193,109422,,1.0,1.0,51.7947532,-0.0918591,Hertford North Gpl Wl1927,53244,HERT927
HERTFDD,Hertford Depot,51702,51.7994003,-0.071751,True,False,,533061.0015,212952.9982,109532,,1.0,0.0,51.7994003,-0.071751,Hertford *,"53239,51702","HERT203,HERTFDD"
HERTFDE,Hertford East,51702,51.7992362,-0.0724966,True,True,HFE,533010.0751,212933.3893,109527,HFE,1.0,1.0,51.7992362,-0.0724966,Hertford East,51702,HERTFDE
HESRJN,Helen Street Jn,7205,55.850735,-4.3203143,True,True,,254838.5751,664383.2103,100651,,1.0,1.0,55.850735,-4.3203143,Helen Street Jn,7205,HESRJN
HESS37,hessle East Jn Sig. 37,19174,53.7231743,-0.4040332,True,True,,505404.3175,426378.6493,107954,,1.0,1.0,53.7231743,-0.4040332,hessle East Jn Sig. 37,19174,HESS37
HESSEJS,Hessle East Jn Sidings,19172,53.7214009,-0.4145982,True,True,,504711.6609,426165.7634,107926,,1.0,1.0,53.7214009,-0.4145982,Hessle East Jn Sidings,19172,HESSEJS
HESSGBF,Hessle C And W (GBRf),19173,53.7218493,-0.4116105,True,True,,504907.6769,426220.0478,107932,,1.0,1.0,53.7218493,-0.4116105,Hessle C And W (GBRf),19173,HESSGBF
HESSLE,Hessle,19195,53.7173588,-0.4421262,True,True,HES,502905.1934,425675.9275,107850,HES,1.0,1.0,53.7173588,-0.4421262,Hessle,19195,HESSLE
HESSLEE,Hessle East Jn,19169,53.7227294,-0.4060053,True,True,,505275.3124,426326.2358,107948,,1.0,1.0,53.7227294,-0.4060053,Hessle East Jn,19169,HESSLEE
HESSLRD,Hessle Road Jn,19109,53.7329121,-0.3818632,True,True,,506842.3787,427495.013,107988,,1.0,1.0,53.7329121,-0.3818632,Hessle Road Jn,19109,HESSLRD
