TIPLOC_x,LocationName_x,StartDate,Easting,Northing,TimingPointType,ZoneResponsible,STANOX,OffNetwork,Quality,index,TIPLOC_y,LocationName_y
TRFDGBR,Trafford Pk Recep GBRF,2004-12-12,463256.0,768476.0,O,6,33076,False,2,103839,TRFDGBR,Trafford Pk Recep GBRF
TRFDPEJ,Trafford Park East Jn,1995-01-01,381400.0,396300.0,M,6,33091,False,2,102272,TRFDPEJ,Trafford Park East Jn
TRFDPES,Trafford Park Exch Sdg,1995-01-01,380487.0,396900.0,O,6,33081,False,2,102261,TRFDPES,Trafford Park Exch Sdg
TRFDPK,Trafford Park,1995-01-01,379470.0,395385.0,O,6,33093,False,4,102245,TRFDPK,Trafford Park
TRFDPKS,Trafford Park Sdgs,1995-01-01,381241.0,396560.0,O,6,33080,False,2,102269,TRFD*,Trafford Park *
TRFDPWS,Trafford Park West Sdgs,2001-09-30,381241.0,396560.0,O,6,33080,False,1,102269,TRFD*,Trafford Park *
TRFDSRL,Trafford Park Sdgs Rec Ln,2001-09-30,381241.0,396560.0,O,6,33080,False,1,102269,TRFD*,Trafford Park *
TRFRSTE,Trefforest Estate,1995-01-01,310670.0,186280.0,T,5,78218,False,4,101108,TRFRSTE,Trefforest Estate
TRIMLEY,Trimley,1995-01-01,628080.0,236100.0,O,3,49138,False,4,105903,TRIMLEY,Trimley
TRING,Tring,1995-01-01,495087.0,212241.0,T,5,70411,False,4,104149,TRING,Tring
TRNHMGN,Turnham Green L.T.,1995-01-01,546520.0,183863.0,O,3,87130,False,2,105355,TRNHMGN,Turnham Green L.T.
TRNO,Thurnscoe,1995-01-01,445900.0,405600.0,O,7,24003,False,4,103405,TRNO,Thurnscoe
TRNRSLA,Turners Lane Jn.,1995-01-01,434800.0,420700.0,O,7,18055,False,2,103164,TRNRSLA,Turners Lane Jn.
TRNTHAM,Trentham,2004-12-12,534745.0,563457.0,O,5,43304,False,2,105060,TRNTHAM,Trentham
TROON,Troon,1995-01-01,232560.0,630880.0,O,9,8519,False,4,100231,TROON,Troon
TROSEXC,Trostre Works Exchange Sdg,2002-09-29,324615.0,468456.0,O,5,79053,False,2,101319,TROSEXC,Trostre Works Exchange Sdg
TROSTRW,Trostre Works,1995-01-01,252700.0,199500.0,O,5,79051,False,2,100400,TROSTRW,Trostre Works
TROWFLR,Flordon Level Xing,1995-01-01,625000.0,306300.0,O,3,48995,False,2,105892,TROWFLR,Flordon Level Xing
TROWSE,Trowse,1995-01-01,624900.0,306300.0,O,3,48302,False,2,105888,TROWSE,Trowse
TROWSEJ,Trowse Jn,1995-01-01,624900.0,306200.0,O,3,48309,False,2,105887,TROWSEJ,Trowse Jn
TROWSOS,Trowse Old Station,1995-01-01,624900.0,306400.0,O,3,0,False,2,105889,TROWSOS,Trowse Old Station
TRSFNYD,Trawsfynydd BNFL (MAGNOX),1995-01-01,269900.0,338400.0,O,6,40056,False,2,100663,TRSFNYD,Trawsfynydd BNFL (MAGNOX)
TRURO,Truro,1995-01-01,181667.0,44924.0,T,4,85501,False,4,100041,TRURO,Truro
TRUROCE,Truro ISU (CE),2004-12-12,653634.0,432134.0,O,4,85502,False,2,106017,TRUROCE,Truro ISU (CE)
TRWBRDG,Trowbridge,1995-01-01,385160.0,157880.0,O,4,82085,False,4,102335,TRWBRDG,Trowbridge
TRWLJN,Trowell Jn,1995-01-01,447900.0,340100.0,M,8,56550,False,2,103447,TRWLJN,Trowell Jn
TRWSSBJ,Trowse Swing Bridge ,1995-01-01,624020.0,308068.0,O,3,48308,False,2,105881,TRWSSBJ,Trowse Swing Bridge 
TSDARPR,Tees-side Airport,1995-01-01,437300.0,513800.0,O,7,15711,False,4,103231,TSDARPR,Tees-side Airport
TTNH104,Tottenham Sth Jn Sig L1004,1995-01-01,643264.0,547457.0,M,3,51934,False,2,105973,TTNH104,Tottenham Sth Jn Sig L1004
TTNHMHL,Tottenham Hale,1995-01-01,534500.0,189500.0,O,3,51931,False,4,105046,TTNHMHL,Tottenham Hale
TTNHMSJ,Tottenham South Jn,1995-01-01,534500.0,189000.0,O,3,51935,False,2,105045,TTNHMSJ,Tottenham South Jn
TUEBFHH,Tuebrook Sidings (FHH),2001-09-30,337905.0,390100.0,O,6,36167,False,2,101594,TUEBFHH,Tuebrook Sidings (FHH)
TUEBRKS,Tuebrook Sidings,1995-01-01,338833.0,391074.0,O,6,36168,False,2,101604,TUEBRKS,Tuebrook Sidings
TULLOCE,Tulloch C.E.,1995-01-01,235400.0,780200.0,O,9,6030,False,2,100276,TULLOCE,Tulloch C.E.
TULLOCH,Tulloch,1995-01-01,235510.0,780240.0,O,9,6029,False,4,100278,TULLOCH,Tulloch
TULS165,Tulse Hill Sig VC165,1995-01-01,531900.0,173000.0,O,3,87595,False,2,104944,TULS165,Tulse Hill Sig VC165
TULSEH,Tulse Hill,1995-01-01,531800.0,172910.0,T,3,87611,False,4,104940,TULSEH,Tulse Hill
TUNSGBF,Tunstead Sidings GBRF,2012-09-12,409282.0,376345.0,O,6,34114,False,2,102748,TUNSGBF,Tunstead Sidings GBRF
TUNSTDS,Tunstead Sdgs,1995-01-01,409024.0,375569.0,O,6,34111,False,2,102745,TUNSTDS,Tunstead Sdgs
TUNWELL,Tunbridge Wells,1995-01-01,558428.0,139207.0,T,3,89375,False,4,105497,TUNWELL,Tunbridge Wells
TUNWTJN,Wells Tunnel Jn.,1995-01-01,558750.0,140200.0,O,3,89374,False,2,105502,TUNWTJN,Wells Tunnel Jn.
TURKYST,Turkey Street,1995-01-01,535130.0,198900.0,O,3,51942,False,4,105081,TURKYST,Turkey Street
TURSDLJ,Tursdale Jn,1995-01-01,430100.0,536500.0,O,7,13800,False,2,103080,TURSDLJ,Tursdale Jn
TURSDLS,Tursdale Siding,1995-01-01,430100.0,536600.0,O,7,13800,False,2,103081,TURSDLS,Tursdale Siding
TUTBURY,Tutbury and Hatton,1995-01-01,421490.0,329675.0,T,8,57471,False,4,102933,TUTBURY,Tutbury and Hatton
TVST132,Plymouth Ground Signal 132,1995-01-01,584354.0,843984.0,O,4,84137,False,2,105699,TVST132,Plymouth Ground Signal 132
TVST197,Plymouth Ground Signal 197,2000-01-01,354351.0,168498.0,O,4,84141,False,2,101898,TVST197,Plymouth Ground Signal 197
TVSTCKJ,Tavistock Jn,1995-01-01,253300.0,56400.0,O,4,84081,False,2,100413,TVSTCKJ,Tavistock Jn
TWCKNHM,Twickenham,1995-01-01,516115.0,173660.0,T,3,87131,False,4,104450,TWCKNHM,Twickenham
TWCKNME,Twickenham East,1995-01-01,516200.0,173600.0,O,3,0,False,2,104451,TWCKNME,Twickenham East
TWCKNMJ,Twickenham Jn,1995-01-01,515900.0,173500.0,O,3,87119,False,2,104440,TWCKNMJ,Twickenham Jn
TWDBANK,Tweedbank,2014-12-14,352367.0,634909.0,O,9,4714,False,4,101857,TWDBANK,Tweedbank
TWERTON,Twerton,2004-12-12,653474.0,452353.0,O,4,81504,False,2,106013,TWERTON,Twerton
TWYFDW,Twyford West,1995-01-01,479000.0,175800.0,O,4,74024,False,2,103996,TWYFDW,Twyford West
TWYFORD,Twyford,1995-01-01,479042.0,175787.0,T,4,74023,False,4,103997,TWYFORD,Twyford
TYCROES,Ty Croes,1995-01-01,234882.0,372360.0,O,6,40015,False,4,100269,TYCROES,Ty Croes
TYGLAS,Ty Glas,1995-01-01,317080.0,180970.0,T,5,78389,False,4,101211,TYGLAS,Ty Glas
TYGWYN,Tygwyn,1995-01-01,260260.0,334950.0,O,5,64424,False,4,100551,TYGWYN,Tygwyn
TYNDRCE,Upper Tyndrum C.E.,1995-01-01,233850.0,730050.0,O,9,6033,False,2,100244,TYNDRCE,Upper Tyndrum C.E.
TYNDRML,Tyndrum Lower,1995-01-01,232700.0,730100.0,O,9,6055,False,4,100232,TYNDRML,Tyndrum Lower
TYNDRMU,Upper Tyndrum,1995-01-01,233390.0,730220.0,O,9,6039,False,4,100242,TYNDRMU,Upper Tyndrum
TYNE193,Tyne Yard Sig T193,1995-01-01,426700.0,557400.0,O,7,13552,False,2,103011,TYNE193,Tyne Yard Sig T193
TYNEY,Tyne S.S.,1995-01-01,426700.0,557600.0,T,7,13550,False,2,103013,TYNEY,Tyne S.S.
TYNEYD,Tyne Yard T.M.D.,1995-01-01,426700.0,557500.0,O,7,13551,False,2,103012,TYNEYD,Tyne Yard T.M.D.
TYNSCFD,Tyneside T.C.,1995-01-01,426700.0,557800.0,O,7,13202,False,2,103014,TYNSCFD,Tyneside T.C.
TYSL,Tyseley,1995-01-01,411030.0,284030.0,M,5,66460,False,4,102792,TYSL,Tyseley
TYSLRWS,Allen Rowland Works,1995-01-01,410500.0,284000.0,O,5,66428,False,2,102778,TYSLRWS,Allen Rowland Works
TYSLSDG,Tyseley LMD,1995-01-01,411000.0,284200.0,T,5,66424,False,2,102790,TYSLSDG,Tyseley LMD
TYSLTMD,Tyseley T.M.D.,1995-01-01,411000.0,284300.0,O,5,66425,False,2,102791,TYSLTMD,Tyseley T.M.D.
TYSLYJM,Tyseley James Motor Co,1995-01-01,411000.0,284005.0,O,5,66429,False,2,102789,TYSLYJM,Tyseley James Motor Co
TYTHRNG,Tytherington,1995-01-01,365400.0,189000.0,O,5,81101,False,2,102041,*,*
TYWYN,Tywyn,1995-01-01,258260.0,300700.0,M,5,64411,False,4,100503,TYWYN,Tywyn
UCKFILD,Uckfield,1995-01-01,547295.0,120905.0,T,3,87769,False,4,105369,UCKFILD,Uckfield
UDNGSTN,Uddingston,1995-01-01,269370.0,660890.0,O,9,7419,False,4,100657,UDNGSTN,Uddingston
UDNGTNJ,Uddingston Jn,1995-01-01,270200.0,660900.0,O,9,7420,False,2,100667,UDNGTNJ,Uddingston Jn
UDNGVPK,Viewpark Sdgs,1995-01-01,270473.0,661098.0,O,9,7421,False,2,100670,UDNGVPK,Viewpark Sdgs
UFNGTN,Uffington,1995-01-01,431000.0,190500.0,T,4,74331,False,2,103100,UFNGTN,Uffington
UHALIFD,Upper Halliford,1995-01-01,509219.0,169395.0,O,3,87156,False,4,104338,UHALIFD,Upper Halliford
ULCEBY,Ulceby,1995-01-01,512490.0,414970.0,O,7,21011,False,4,104384,ULCEBY,Ulceby
ULESKLF,Ulleskelf,1995-01-01,451803.0,439995.0,O,7,16493,False,4,103549,ULESKLF,Ulleskelf
ULLAPOL,Ullapool,1995-01-01,175575.0,875000.0,O,9,0,False,2,100026,ULLAPOL,Ullapool
ULVRSTN,Ulverston,1995-01-01,328460.0,477870.0,O,6,11311,False,4,101354,ULVRSTN,Ulverston
UMBRLGH,Umberleigh,1995-01-01,260950.0,123800.0,O,4,83226,False,4,100565,UMBRLGH,Umberleigh
