TIPLOC_PlatformID,TIPLOC,PlatformID,StartDate,PlatformLength,PassengerDOO,NonPassengerDOO,index_TIPLOC,index_PlatformID,index,Easting,Northing,Quality,Shape
CRAVENA_2,CRAVENA,2,2004-12-12,0,False,False,101706,70,101706070,343169.85727152,283022.62535083265,2,"LINESTRING (343158.1043 283088.4747, 343163.5081 283059.0986, 343169.0724 283027.1398, 343171.3922 283013.7967, 343181.009 282956.6715)"
CRCK_1,CRCK,1,1995-01-01,0,False,False,100997,7,100997007,297741.34822856926,517430.0794975954,2,"POLYGON ((297739.6212 517478.4298, 297739.6708 517480.9222, 297743.9034 517480.6265, 297743.3411 517458.7989, 297743.4874 517431.6456, 297744.1673 517404.3355, 297745.3832 517379.2731, 297740.3332 517379.1975, 297737.9406 517379.2959, 297737.9102 517388.0126, 297738.7711 517388.0155, 297738.2215 517402.4211, 297739.1257 517402.334, 297738.7272 517411.9495, 297739.5171 517411.9651, 297739.0113 517438.3808, 297733.2743 517438.265, 297733.9928 517458.6865, 297739.5943 517458.5382, 297739.6212 517478.4298))"
CRDFCEN_0,CRDFCEN,0,1995-01-01,0,False,False,101233,1,101233001,318113.3879341143,175876.3291730151,2,"POLYGON ((318153.4827 175879.4091, 318157.411 175884.3627, 318160.0832 175882.0726, 318163.5121 175881.0384, 318180.0926 175881.4053, 318180.1516 175878.1673, 318183.8767 175878.2741, 318184.0104 175876.2252, 318121.6988 175874.4707, 318102.74 175873.5194, 318086.613 175871.9885, 318070.3598 175869.948, 318043.8831 175865.0246, 318043.306 175869.2944, 318052.2402 175871.4974, 318052.4335 175869.7033, 318061.663 175871.2675, 318061.3801 175873.1075, 318070.0954 175874.6577, 318070.4602 175872.7274, 318079.5183 175874.0051, 318079.4445 175875.8863, 318092.0709 175877.4513, 318097.4067 175877.9326, 318097.4791 175875.9625, 318102.5915 175876.3695, 318107.4899 175876.4351, 318107.5161 175878.4926, 318115.3194 175878.6338, 318115.3979 175876.608, 318124.049 175876.7688, 318123.8943 175878.807, 318153.4827 175879.4091))"
CRDFCEN_1,CRDFCEN,1,1995-01-01,0,False,True,101233,7,101233007,318169.78182656097,175866.31779437518,2,"POLYGON ((318290.1681 175872.7473, 318118.4888 175867.9704, 318097.0334 175866.848, 318086.5913 175865.904, 318074.5591 175864.1403, 318049.79 175859.5675, 318036.9178 175857.8397, 318027.1067 175856.83, 318017.0834 175856.0129, 318017.1117 175854.3216, 318049.7378 175856.3313, 318086.8768 175859.9147, 318118.6626 175861.5157, 318191.7183 175863.9759, 318224.3669 175864.8072, 318226.6141 175865.0157, 318226.5379 175867.1861, 318231.0837 175867.3576, 318231.1661 175865.1426, 318236.6148 175865.2996, 318236.5924 175867.3579, 318241.6229 175867.4327, 318241.6564 175865.1962, 318322.8807 175868.0607, 318322.6896 175873.0251, 318314.4899 175873.2905, 318290.1681 175872.7473))"
CRDFCEN_2,CRDFCEN,2,1995-01-01,0,False,True,101233,70,101233070,318170.04248898075,175860.0379476539,2,"POLYGON ((318290.0617 175860.5238, 318308.4225 175861.4409, 318323.0828 175862.9182, 318322.8807 175868.0607, 318241.6564 175865.1962, 318241.6826 175863.3715, 318236.652 175863.2967, 318236.6148 175865.2996, 318231.1661 175865.1426, 318231.2399 175863.2504, 318226.694 175863.0788, 318226.6141 175865.0157, 318224.3669 175864.8072, 318191.7183 175863.9759, 318118.6626 175861.5157, 318086.8768 175859.9147, 318049.7378 175856.3313, 318017.1117 175854.3216, 318017.1456 175852.5523, 318097.6348 175854.6019, 318290.0617 175860.5238))"
CRDFCEN_3,CRDFCEN,3,1995-01-01,0,False,True,101233,90,101233090,318166.9253039628,175839.55029144994,2,"POLYGON ((318279.1782 175845.9597, 318090.0777 175840.4406, 318017.476 175838.1637, 318017.8009 175831.6064, 318190.6962 175837.1836, 318224.2702 175838.0889, 318225.8135 175838.1642, 318225.7368 175840.3012, 318230.6994 175840.4661, 318230.7754 175838.2845, 318237.7171 175838.4064, 318237.6417 175840.6324, 318242.5698 175840.8089, 318242.6399 175838.6942, 318246.7554 175838.8838, 318246.6596 175841.1324, 318269.1021 175841.8613, 318269.1495 175839.6246, 318291.3083 175840.425, 318316.2959 175843.4826, 318316.0467 175847.4244, 318279.1782 175845.9597))"
CRDFCEN_3A,CRDFCEN,3A,1995-01-01,0,False,False,101233,91,101233091,318166.9253039628,175839.55029144994,1,"POLYGON ((318279.1782 175845.9597, 318090.0777 175840.4406, 318017.476 175838.1637, 318017.8009 175831.6064, 318190.6962 175837.1836, 318224.2702 175838.0889, 318225.8135 175838.1642, 318225.7368 175840.3012, 318230.6994 175840.4661, 318230.7754 175838.2845, 318237.7171 175838.4064, 318237.6417 175840.6324, 318242.5698 175840.8089, 318242.6399 175838.6942, 318246.7554 175838.8838, 318246.6596 175841.1324, 318269.1021 175841.8613, 318269.1495 175839.6246, 318291.3083 175840.425, 318316.2959 175843.4826, 318316.0467 175847.4244, 318279.1782 175845.9597))"
CRDFCEN_3B,CRDFCEN,3B,1995-01-01,0,False,False,101233,92,101233092,318166.9253039628,175839.55029144994,1,"POLYGON ((318279.1782 175845.9597, 318090.0777 175840.4406, 318017.476 175838.1637, 318017.8009 175831.6064, 318190.6962 175837.1836, 318224.2702 175838.0889, 318225.8135 175838.1642, 318225.7368 175840.3012, 318230.6994 175840.4661, 318230.7754 175838.2845, 318237.7171 175838.4064, 318237.6417 175840.6324, 318242.5698 175840.8089, 318242.6399 175838.6942, 318246.7554 175838.8838, 318246.6596 175841.1324, 318269.1021 175841.8613, 318269.1495 175839.6246, 318291.3083 175840.425, 318316.2959 175843.4826, 318316.0467 175847.4244, 318279.1782 175845.9597))"
CRDFCEN_4,CRDFCEN,4,1995-01-01,0,False,True,101233,104,101233104,318167.28092925705,175833.20576962392,2,"POLYGON ((318316.6173 175838.416, 318316.2959 175843.4826, 318291.3083 175840.425, 318269.1495 175839.6246, 318269.1929 175837.5771, 318246.84 175836.8023, 318246.7554 175838.8838, 318242.6399 175838.6942, 318242.7071 175836.8243, 318237.7792 175836.6589, 318237.7171 175838.4064, 318230.7754 175838.2845, 318230.8422 175836.3924, 318225.8796 175836.2276, 318225.8135 175838.1642, 318224.2702 175838.0889, 318190.6962 175837.1836, 318017.8009 175831.6064, 318018.0627 175826.3072, 318090.4071 175827.6984, 318279.461 175833.3183, 318292.4786 175834.1545, 318300.521 175835.3377, 318316.6173 175838.416))"
CRDFCEN_4A,CRDFCEN,4A,1995-01-01,0,False,False,101233,105,101233105,318167.28092925705,175833.20576962392,1,"POLYGON ((318316.6173 175838.416, 318316.2959 175843.4826, 318291.3083 175840.425, 318269.1495 175839.6246, 318269.1929 175837.5771, 318246.84 175836.8023, 318246.7554 175838.8838, 318242.6399 175838.6942, 318242.7071 175836.8243, 318237.7792 175836.6589, 318237.7171 175838.4064, 318230.7754 175838.2845, 318230.8422 175836.3924, 318225.8796 175836.2276, 318225.8135 175838.1642, 318224.2702 175838.0889, 318190.6962 175837.1836, 318017.8009 175831.6064, 318018.0627 175826.3072, 318090.4071 175827.6984, 318279.461 175833.3183, 318292.4786 175834.1545, 318300.521 175835.3377, 318316.6173 175838.416))"
