date,origin_station_code,destination_station_code,hour,journey_time_mean,departure_wait_time_mean,interchange_wait_time_mean,journey_time_50_pctl,journey_time_75_pctl,journey_time_95_pctl,journey_time_std,departure_wait_time_50_pctl,departure_wait_time_75_pctl,departure_wait_time_95_pctl,departure_wait_time_std,interchange_wait_time_50_pctl,interchange_wait_time_75_pctl,interchange_wait_time_95_pctl,interchange_wait_time_std,passenger_volume
2022-12-13,AAP,AAP,8,11,8.0,,,,,,,,,,,,,,4.42
2022-12-13,AAP,AAP,12,22,2.0,,,,,,,,,,,,,,4.42
2022-12-13,AAP,AAP,17,12,19.0,,,,,,,,,,,,,,4.42
2022-12-13,AAP,BOP,7,21,-1.0,,,,,,,,,,,,,,4.42
2022-12-13,AAP,BOP,8,4,0.0,,,,,,,,,,,,,,4.42
2022-12-13,AAP,BOP,9,13,21.0,,,,,,,,,,,,,,4.42
2022-12-13,AAP,BOP,10,4,-15.0,,,,,,,,,,,,,,4.42
2022-12-13,AAP,BOP,12,3,15.0,,,,,,,,,,,,,,4.42
2022-12-13,AAP,BOP,13,2,-1.0,,,,,,,,,,,,,,4.42
2022-12-13,AAP,BOP,14,2,5.0,,,,,,,,,,,,,,4.42
2022-12-13,AAP,BOP,15,8,-2.0,,,,,,,,,,,,,,11.0
2022-12-13,AAP,BOP,16,16,5.0,,,,,,,,,,,,,,4.42
2022-12-13,AAP,BPK,13,21,,,,,,,,,,,,,,,4.42
2022-12-13,AAP,CIR,9,2,13.0,,,,,,,,,,,,,,4.42
2022-12-13,AAP,CIR,11,2,20.0,,,,,,,,,,,,,,4.42
2022-12-13,AAP,CMD,7,8,-6.0,,,,,,,,,,,,,,4.42
2022-12-13,AAP,CUF,16,28,14.0,,,,,,,,,,,,,,4.42
2022-12-13,AAP,ENC,8,55,6.0,32.0,,,,,,,,,,,,,4.42
2022-12-13,AAP,ENC,9,22,21.0,,,,,,,,,,,,,,4.42
2022-12-13,AAP,ENC,15,34,4.0,33.0,,,,,,,,,,,,,4.42
2022-12-13,AAP,ENC,18,15,6.0,,,,,,,,,,,,,,4.42
2022-12-13,AAP,FPK,7,8,8.0,,,,,,,,,,,,,,111.0
2022-12-13,AAP,FPK,8,9,8.0,,,,,,,,,,,,,,95.0
2022-12-13,AAP,FPK,9,9,13.0,,,,,,,,,,,,,,142.0
2022-12-13,AAP,FPK,10,9,12.0,,,,,,,,,,,,,,46.0
2022-12-13,AAP,FPK,11,19,-1.0,,,,,,,,,,,,,,4.42
2022-12-13,AAP,FPK,12,11,7.0,,,,,,,,,,,,,,14.0
2022-12-13,AAP,FPK,13,9,5.0,,,,,,,,,,,,,,17.0
2022-12-13,AAP,FPK,14,17,3.0,,,,,,,,,,,,,,4.42
2022-12-13,AAP,FPK,15,13,8.0,,,,,,,,,,,,,,21.0
2022-12-13,AAP,FPK,16,10,6.0,,,,,,,,,,,,,,24.0
2022-12-13,AAP,FPK,17,8,1.0,,,,,,,,,,,,,,51.0
2022-12-13,AAP,GDH,10,18,10.0,,,,,,,,,,,,,,4.42
2022-12-13,AAP,GDH,16,19,9.0,,,,,,,,,,,,,,4.42
2022-12-13,AAP,GPK,17,10,19.0,,,,,,,,,,,,,,4.42
2022-12-13,AAP,HAT,7,42,29.0,,,,,,,,,,,,,,4.42
2022-12-13,AAP,HAT,10,44,30.0,,,,,,,,,,,,,,4.42
