date,origin_station_code,destination_station_code,hour,journey_time_mean,departure_wait_time_mean,interchange_wait_time_mean,journey_time_50_pctl,journey_time_75_pctl,journey_time_95_pctl,journey_time_std,departure_wait_time_50_pctl,departure_wait_time_75_pctl,departure_wait_time_95_pctl,departure_wait_time_std,interchange_wait_time_50_pctl,interchange_wait_time_75_pctl,interchange_wait_time_95_pctl,interchange_wait_time_std,passenger_volume
2022-12-14,AAP,AAP,8,7,1.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,AAP,9,6,4.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,BOP,8,2,5.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,BOP,9,7,4.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,BOP,10,8,5.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,BOP,11,2,19.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,BOP,13,2,9.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,BOP,15,5,9.0,,,,,,,,,,,,,,12.0
2022-12-14,AAP,BOP,17,3,6.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,CRG,12,226,27.0,27.0,,,,,,,,,,,,,4.42
2022-12-14,AAP,CUF,15,27,39.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,CWH,12,29,4.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,ENC,14,21,6.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,ENC,17,22,5.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,FPK,7,8,10.0,,,,,,,,,,,,,,131.0
2022-12-14,AAP,FPK,8,9,2.0,,,,,,,,,,,,,,35.0
2022-12-14,AAP,FPK,9,8,7.0,,,,,,,,,,,,,,27.0
2022-12-14,AAP,FPK,10,8,14.0,,,,,,,,,,,,,,17.0
2022-12-14,AAP,FPK,11,11,9.0,,,,,,,,,,,,,,20.0
2022-12-14,AAP,FPK,12,11,8.0,,,,,,,,,,,,,,14.0
2022-12-14,AAP,FPK,13,5,0.0,,,,,,,,,,,,,,13.0
2022-12-14,AAP,FPK,14,13,12.0,,,,,,,,,,,,,,41.0
2022-12-14,AAP,FPK,15,7,15.0,,,,,,,,,,,,,,21.0
2022-12-14,AAP,FPK,16,8,10.0,,,,,,,,,,,,,,19.0
2022-12-14,AAP,FPK,17,11,7.0,,,,,,,,,,,,,,20.0
2022-12-14,AAP,GDH,8,21,4.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,GDH,10,16,6.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,GPK,8,14,4.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,GPK,16,16,37.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,HAT,7,36,18.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,HAT,10,43,23.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,HAT,12,42,43.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,HAT,16,46,-7.0,31.0,,,,,,,,,,,,,4.42
2022-12-14,AAP,HAT,17,40,18.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,HDW,9,23,8.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,HDW,12,30,-1.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,HFN,14,32,4.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,HFN,16,38,4.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,HGY,7,15,14.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,HGY,8,19,16.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,HGY,9,12,12.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,HGY,11,14,-3.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,HGY,12,4,,,,,,,,,,,,,,,4.42
2022-12-14,AAP,HGY,13,11,30.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,HGY,14,7,20.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,HGY,15,9,5.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,HGY,16,20,9.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,HGY,17,6,11.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,HPA,14,74,16.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,HRN,7,7,21.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,HRN,8,10,4.0,,,,,,,,,,,,,,18.0
2022-12-14,AAP,HRN,10,4,-10.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,HRN,11,19,17.0,,,,,,,,,,,,,,4.42
2022-12-14,AAP,HRN,13,5,5.0,,,,,,,,,,,,,,13.0
