route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
NA00127_route,SW,SW_NA00127,,,2,,,
NA00128_route,SW,SW_NA00128,,,2,,,
NA00129_route,SW,SW_NA00129,,,2,,,
NA00130_route,SW,SW_NA00130,,,2,,,
NA00131_route,SW,SW_NA00131,,,2,,,
NA00132_route,SW,SW_NA00132,,,2,,,
NA00133_route,SW,SW_NA00133,,,2,,,
NA00134_route,SW,SW_NA00134,,,2,,,
NA00135_route,SW,SW_NA00135,,,2,,,
NA00136_route,SW,SW_NA00136,,,2,,,
NA00137_route,SW,SW_NA00137,,,2,,,
NA00138_route,SW,SW_NA00138,,,2,,,
NA00139_route,SW,SW_NA00139,,,2,,,
NA00140_route,SW,SW_NA00140,,,2,,,
NA00141_route,SW,SW_NA00141,,,2,,,
NA00142_route,SW,SW_NA00142,,,2,,,
NA00143_route,SW,SW_NA00143,,,2,,,
NA00144_route,SW,SW_NA00144,,,2,,,
NA00145_route,SW,SW_NA00145,,,2,,,
NA00146_route,SW,SW_NA00146,,,2,,,
NA00147_route,SW,SW_NA00147,,,2,,,
NA00148_route,SW,SW_NA00148,,,2,,,
NA00149_route,TL,TL_NA00149,,,2,,,
NA00150_route,TL,TL_NA00150,,,2,,,
NA00151_route,TL,TL_NA00151,,,2,,,
NA00152_route,TL,TL_NA00152,,,2,,,
NA00153_route,TL,TL_NA00153,,,2,,,
NA00154_route,TL,TL_NA00154,,,2,,,
NA00155_route,TL,TL_NA00155,,,2,,,
NA00156_route,TL,TL_NA00156,,,2,,,
NA00157_route,TL,TL_NA00157,,,2,,,
NA00158_route,TL,TL_NA00158,,,2,,,
NA00159_route,TL,TL_NA00159,,,2,,,
NA00160_route,TL,TL_NA00160,,,2,,,
NA00161_route,TL,TL_NA00161,,,2,,,
NA00162_route,TL,TL_NA00162,,,2,,,
NA00163_route,TL,TL_NA00163,,,2,,,
NA00164_route,TL,TL_NA00164,,,2,,,
NA00165_route,TL,TL_NA00165,,,2,,,
NA00166_route,TL,TL_NA00166,,,2,,,
NA00167_route,TL,TL_NA00167,,,2,,,
NA00168_route,TL,TL_NA00168,,,2,,,
NA00169_route,TL,TL_NA00169,,,2,,,
NA00170_route,TL,TL_NA00170,,,2,,,
NA00171_route,TL,TL_NA00171,,,2,,,
NA00172_route,TL,TL_NA00172,,,2,,,
NA00173_route,TL,TL_NA00173,,,2,,,
NA00174_route,TL,TL_NA00174,,,2,,,
NA00175_route,TL,TL_NA00175,,,2,,,
NA00176_route,TL,TL_NA00176,,,2,,,
NA00177_route,TL,TL_NA00177,,,2,,,
NA00178_route,TL,TL_NA00178,,,2,,,
NA00179_route,TL,TL_NA00179,,,2,,,
NA00180_route,TL,TL_NA00180,,,2,,,
NA00181_route,TL,TL_NA00181,,,2,,,
NA00182_route,TL,TL_NA00182,,,2,,,
NA00183_route,TL,TL_NA00183,,,2,,,
NA00184_route,TL,TL_NA00184,,,2,,,
NA00185_route,TL,TL_NA00185,,,2,,,
NA00186_route,TL,TL_NA00186,,,2,,,
NA00187_route,TL,TL_NA00187,,,2,,,
NA00188_route,TL,TL_NA00188,,,2,,,
NA00189_route,TL,TL_NA00189,,,2,,,
NA00190_route,TL,TL_NA00190,,,2,,,
NA00191_route,TL,TL_NA00191,,,2,,,
NA00192_route,TL,TL_NA00192,,,2,,,
NA00193_route,TL,TL_NA00193,,,2,,,
NA00194_route,TL,TL_NA00194,,,2,,,
NA00195_route,TL,TL_NA00195,,,2,,,
NA00196_route,TL,TL_NA00196,,,2,,,
NA00197_route,TL,TL_NA00197,,,2,,,
NA00198_route,TL,TL_NA00198,,,2,,,
NA00199_route,TL,TL_NA00199,,,2,,,
NA00200_route,TL,TL_NA00200,,,2,,,
NA00201_route,TL,TL_NA00201,,,2,,,
NA00202_route,TL,TL_NA00202,,,2,,,
NA00203_route,TL,TL_NA00203,,,2,,,
NA00204_route,TL,TL_NA00204,,,2,,,
NA00205_route,TL,TL_NA00205,,,2,,,
NA00206_route,TL,TL_NA00206,,,2,,,
NA00207_route,TL,TL_NA00207,,,2,,,
NA00208_route,TL,TL_NA00208,,,2,,,
NA00209_route,TL,TL_NA00209,,,2,,,
NA00210_route,TL,TL_NA00210,,,2,,,
NA00211_route,TL,TL_NA00211,,,2,,,
NA00212_route,TL,TL_NA00212,,,2,,,
NA00213_route,TL,TL_NA00213,,,2,,,
NA00214_route,TL,TL_NA00214,,,2,,,
NA00215_route,TL,TL_NA00215,,,2,,,
NA00216_route,TL,TL_NA00216,,,2,,,
NA00217_route,TL,TL_NA00217,,,2,,,
NA00218_route,TL,TL_NA00218,,,2,,,
NA00219_route,TL,TL_NA00219,,,2,,,
NA00220_route,TL,TL_NA00220,,,2,,,
NA00221_route,TL,TL_NA00221,,,2,,,
NA00222_route,TL,TL_NA00222,,,2,,,
NA00223_route,TL,TL_NA00223,,,2,,,
NA00224_route,TL,TL_NA00224,,,2,,,
NA00225_route,TL,TL_NA00225,,,2,,,
NA00226_route,TL,TL_NA00226,,,2,,,
NA00227_route,TL,TL_NA00227,,,2,,,
NA00228_route,TL,TL_NA00228,,,2,,,
NA00229_route,TL,TL_NA00229,,,2,,,
NA00230_route,TL,TL_NA00230,,,2,,,
NA00231_route,TL,TL_NA00231,,,2,,,
NA00232_route,TL,TL_NA00232,,,2,,,
NA00233_route,TL,TL_NA00233,,,2,,,
NA00234_route,TL,TL_NA00234,,,2,,,
NA00235_route,TL,TL_NA00235,,,2,,,
NA00236_route,TL,TL_NA00236,,,2,,,
NA00237_route,TL,TL_NA00237,,,2,,,
NA00238_route,TL,TL_NA00238,,,2,,,
NA00239_route,TL,TL_NA00239,,,2,,,
NA00240_route,TL,TL_NA00240,,,2,,,
NA00241_route,TL,TL_NA00241,,,2,,,
NA00242_route,TL,TL_NA00242,,,2,,,
NA00243_route,TL,TL_NA00243,,,2,,,
NA00244_route,TL,TL_NA00244,,,2,,,
NA00245_route,TL,TL_NA00245,,,2,,,
NA00246_route,TL,TL_NA00246,,,2,,,
NA00247_route,TL,TL_NA00247,,,2,,,
NA00248_route,TL,TL_NA00248,,,2,,,
NA00249_route,TL,TL_NA00249,,,2,,,
NA00250_route,TL,TL_NA00250,,,2,,,
NA00251_route,TL,TL_NA00251,,,2,,,
NA00252_route,TL,TL_NA00252,,,2,,,
NA00253_route,TL,TL_NA00253,,,2,,,
NA00254_route,TL,TL_NA00254,,,2,,,
NA00255_route,TL,TL_NA00255,,,2,,,
NA00256_route,SE,SE_NA00256,,,2,,,
NA00257_route,SE,SE_NA00257,,,2,,,
NA00258_route,SE,SE_NA00258,,,2,,,
NA00259_route,SE,SE_NA00259,,,2,,,
NA00260_route,SE,SE_NA00260,,,2,,,
NA00261_route,SE,SE_NA00261,,,2,,,
NA00262_route,SE,SE_NA00262,,,2,,,
NA00263_route,SE,SE_NA00263,,,2,,,
NA00264_route,SE,SE_NA00264,,,2,,,
NA00265_route,SW,SW_NA00265,,,2,,,
NA00266_route,SW,SW_NA00266,,,2,,,
NA00267_route,SW,SW_NA00267,,,2,,,
NA00268_route,SW,SW_NA00268,,,2,,,
NA00269_route,SW,SW_NA00269,,,2,,,
NA00270_route,SW,SW_NA00270,,,2,,,
NA00271_route,SW,SW_NA00271,,,2,,,
NA00272_route,SW,SW_NA00272,,,2,,,
NA00273_route,SW,SW_NA00273,,,2,,,
NA00274_route,SW,SW_NA00274,,,2,,,
NA00275_route,SW,SW_NA00275,,,2,,,
NA00276_route,SW,SW_NA00276,,,2,,,
NA00277_route,SW,SW_NA00277,,,2,,,
NA00278_route,SW,SW_NA00278,,,2,,,
NA00279_route,SW,SW_NA00279,,,2,,,
