FromCRS,ToCRS,TravelTime,TSys
HRW,ANY,87.1989899,PuT-Aux
HOH,ANY,67.66351351,PuT-Aux
HTE,ANY,103.0845912,PuT-Aux
HDL,ANY,101.0845912,PuT-Aux
HHY,ANY,48.58333333,PuT-Aux
HPA,ANY,17.13611111,PuT-Aux
IMW,ANY,46.64583333,PuT-Aux
KPA,ANY,56.06666667,PuT-Aux
KTN,ANY,56.21794872,PuT-Aux
KBN,ANY,82.93475177,PuT-Aux
LEW,ANY,42.63611111,PuT-Aux
LHS,ANY,43.51296296,PuT-Aux
BFR,ANY,48.41596244,PuT-Aux
LBG,ANY,35.45277778,PuT-Aux
CST,ANY,45.76081081,PuT-Aux
CHX,ANY,45.21666667,PuT-Aux
EUS,ANY,55.3369863,PuT-Aux
FST,ANY,56.15666667,PuT-Aux
LOF,ANY,65.41441441,PuT-Aux
KGX,ANY,68.58333333,PuT-Aux
LST,ANY,45.53159204,PuT-Aux
MYB,ANY,49.22777778,PuT-Aux
PAD,ANY,52.28971963,PuT-Aux
STP,ANY,63.20897436,PuT-Aux
VIC,ANY,49.558,PuT-Aux
WAT,ANY,40.6375,PuT-Aux
WAE,ANY,50.76666667,PuT-Aux
MOG,ANY,45.16214689,PuT-Aux
NXG,ANY,20.46666667,PuT-Aux
NWD,ANY,8.744444444,PuT-Aux
OLD,ANY,51.75576923,PuT-Aux
PMR,ANY,34.725,PuT-Aux
PNE,ANY,34.46666667,PuT-Aux
PUT,ANY,52.99666667,PuT-Aux
QRP,ANY,32.725,PuT-Aux
REC,ANY,68.42751004,PuT-Aux
RMD,ANY,69.29065041,PuT-Aux
RIC,ANY,91.77764228,PuT-Aux
RMF,ANY,62.0673913,PuT-Aux
SVS,ANY,57.7087963,PuT-Aux
SPB,ANY,56.02638889,PuT-Aux
SLV,ANY,65.30757576,PuT-Aux
SOH,ANY,77.73650138,PuT-Aux
SRU,ANY,80.65925926,PuT-Aux
SBU,ANY,70.80757576,PuT-Aux
SMH,ANY,65.01014493,PuT-Aux
SKW,ANY,67.40555556,PuT-Aux
SRA,ANY,41.68991228,PuT-Aux
SFA,ANY,50.5858156,PuT-Aux
SYD,ANY,9.466666667,PuT-Aux
TEO,ANY,75.94090909,PuT-Aux
TOM,ANY,60.65277778,PuT-Aux
TUR,ANY,73.55757576,PuT-Aux
UPM,ANY,70.66774194,PuT-Aux
VXH,ANY,57.02816901,PuT-Aux
WWR,ANY,43.91111111,PuT-Aux
WNP,ANY,72.58382353,PuT-Aux
WFJ,ANY,95.80068493,PuT-Aux
WMB,ANY,78.00977011,PuT-Aux
WBP,ANY,58.56885965,PuT-Aux
WCY,ANY,14.59166667,PuT-Aux
WEH,ANY,38.93333333,PuT-Aux
WHD,ANY,51.73055556,PuT-Aux
WHL,ANY,64.74090909,PuT-Aux
WIJ,ANY,73.5,PuT-Aux
WIM,ANY,57.21091954,PuT-Aux
WGR,ANY,64.26910112,PuT-Aux
WWA,ANY,56.40482456,PuT-Aux
AMR,BAL,88.25588235,PuT-Aux
ANY,BAL,51.95347222,PuT-Aux
BKG,BAL,52.32049383,PuT-Aux
BAK,BAL,32.26111111,PuT-Aux
BET,BAL,40.89504505,PuT-Aux
BRX,BAL,15.03028674,PuT-Aux
BCY,BAL,40.53055556,PuT-Aux
BCV,BAL,48.54875,PuT-Aux
BSH,BAL,70.67011494,PuT-Aux
CBH,BAL,46.59757835,PuT-Aux
CPK,BAL,78.86311728,PuT-Aux
CFO,BAL,84.97723577,PuT-Aux
CHN,BAL,65.28734568,PuT-Aux
CLW,BAL,81.46940928,PuT-Aux
CTK,BAL,38.86336032,PuT-Aux
CLJ,BAL,32.28058333,PuT-Aux
CPT,BAL,50.14209402,PuT-Aux
CYP,BAL,54.10098039,PuT-Aux
DMK,BAL,29.02432432,PuT-Aux
EAL,BAL,49.90069735,PuT-Aux
EDR,BAL,54.89695122,PuT-Aux
EPH,BAL,18.81410256,PuT-Aux
ZFD,BAL,31.66027634,PuT-Aux
FPK,BAL,31.97273551,PuT-Aux
FOH,BAL,44.93823529,PuT-Aux
GFD,BAL,57.65677831,PuT-Aux
GNW,BAL,46.50690789,PuT-Aux
HKC,BAL,44.98072072,PuT-Aux
HRY,BAL,57.71422764,PuT-Aux
HRW,BAL,55.78115942,PuT-Aux
HOH,BAL,60.56151272,PuT-Aux
HTE,BAL,76.02530303,PuT-Aux
HDL,BAL,74.09040881,PuT-Aux
HHY,BAL,30.90510753,PuT-Aux
HPA,BAL,44.22091503,PuT-Aux
IMW,BAL,37.91,PuT-Aux
KPA,BAL,31.53333333,PuT-Aux
KTN,BAL,38.78612245,PuT-Aux
KBN,BAL,48.14632035,PuT-Aux
LEW,BAL,46.84779202,PuT-Aux
LHS,BAL,31.70743405,PuT-Aux
BFR,BAL,31.04936461,PuT-Aux
LBG,BAL,22.85209472,PuT-Aux
CST,BAL,29.4171875,PuT-Aux
