TIPLOC_PlatformID,TIPLOC,PlatformID,StartDate,PlatformLength,PassengerDOO,NonPassengerDOO,index_TIPLOC,index_PlatformID,index,Easting,Northing,Quality,Shape
SBYD_2,SBYD,2,2000-05-28,225,False,False,104392,70,104392070,395746.9175416942,398572.2057854177,2,"POLYGON ((395706.7037 398562.7197, 395732.8142 398567.5907, 395787.2215 398580.8466, 395786.8782 398582.805, 395723.7099 398567.9106, 395706.4001 398564.5001, 395706.7037 398562.7197))"
SBYD_3,SBYD,3,2012-10-11,0,False,False,104392,90,104392090,395826.5363515938,398591.977505064,2,"POLYGON ((395919.4358 398617.6639, 395928.4088 398619.0689, 395929.8652 398615.1403, 395917.9024 398609.6661, 395917.4071 398612.3032, 395904.5489 398607.375, 395898.2886 398604.3878, 395884.6616 398600.584, 395884.1131 398603.1099, 395790.5585 398579.9313, 395789.7588 398583.481, 395786.8782 398582.805, 395723.7099 398567.9106, 395722.7768 398570.615, 395785.945 398585.5204, 395867.7836 398604.8379, 395883.8924 398608.6395, 395916.2232 398616.7878, 395919.4358 398617.6639))"
SBYD_4,SBYD,4,2012-10-11,0,False,False,104392,104,104392104,395806.9897779466,398605.61480956816,2,"POLYGON ((395681.5938 398577.5956, 395715.6434 398585.1736, 395830.782 398612.4588, 395830.2594 398614.2838, 395829.6245 398616.6652, 395924.4251 398639.1315, 395925.1331 398636.8279, 395931.2791 398638.1576, 395931.6279 398634.8641, 395921.7051 398632.4587, 395897.9502 398626.7391, 395767.9701 398594.8266, 395711.6722 398582.0734, 395682.0371 398576.1489, 395681.5938 398577.5956))"
SBYD_5,SBYD,5,2012-10-11,0,False,False,104392,117,104392117,395750.1608116393,398594.41008488846,2,"POLYGON ((395830.2594 398614.2838, 395830.782 398612.4588, 395715.6434 398585.1736, 395681.5938 398577.5956, 395669.9323 398575.3593, 395669.4823 398576.6057, 395698.7727 398582.9643, 395757.7132 398597.3059, 395830.2594 398614.2838))"
SCARBRO_1,SCARBRO,1,1995-01-01,0,False,True,107880,7,107880007,503793.41797505313,488133.0798314202,2,"POLYGON ((503772.9037 488087.4638, 503807.6854 488149.9156, 503821.3176 488173.9216, 503838.9729 488207.8363, 503856.8658 488242.1794, 503865.2933 488256.9405, 503865.8519 488257.877, 503870.2701 488265.29, 503869.0686 488265.9975, 503865.5431 488268.0884, 503851.9568 488243.2262, 503851.2168 488241.9628, 503844.4172 488230.3886, 503802.5546 488159.0609, 503797.5613 488149.6982, 503780.5897 488118.3705, 503774.3672 488107.4773, 503756.7578 488074.9554, 503740.1549 488044.2929, 503736.7263 488033.4183, 503720.4601 488003.4091, 503718.8103 487999.4425, 503723.8074 487997.3847, 503739.9103 488027.9913, 503747.8486 488041.6614, 503772.9037 488087.4638))"
SCARBRO_2,SCARBRO,2,1995-01-01,0,False,True,107880,70,107880070,503837.10277050344,488190.58668705245,2,"POLYGON ((503785.7384 488104.684, 503787.6473 488103.5138, 503799.5045 488121.0347, 503813.753 488141.693, 503820.9088 488153.3642, 503828.4632 488165.5565, 503835.0327 488177.515, 503845.6733 488198.9936, 503869.9873 488248.1081, 503877.8264 488262.6778, 503886.8548 488274.4805, 503884.5249 488276.988, 503881.3067 488280.4662, 503877.6172 488276.2643, 503872.8823 488270.7587, 503869.0686 488265.9975, 503870.2701 488265.29, 503865.8519 488257.877, 503868.4714 488256.6783, 503861.3928 488245.3538, 503844.5417 488213.3384, 503827.4328 488180.616, 503814.3941 488156.5788, 503806.3105 488141.859, 503785.7384 488104.684))"
SCARBRO_3,SCARBRO,3,1995-01-01,0,False,True,107880,90,107880090,503881.37957256584,488254.67825164786,2,"POLYGON ((503834.8498 488172.6354, 503836.6385 488171.5961, 503873.075 488232.238, 503887.2162 488255.599, 503894.8002 488265.8886, 503900.583 488272.8649, 503949.3227 488318.2018, 503945.2589 488322.4957, 503942.1494 488325.7759, 503927.0615 488312.3334, 503919.4719 488305.1827, 503886.8548 488274.4805, 503877.8264 488262.6778, 503880.1532 488261.7509, 503878.643 488258.8226, 503877.9001 488257.6816, 503866.8068 488236.6491, 503851.7771 488206.1886, 503834.8498 488172.6354))"
SCARBRO_4,SCARBRO,4,1995-01-01,0,False,True,107880,104,107880104,503897.93820962723,488255.7266910617,2,"POLYGON ((503854.954 488188.673, 503856.9884 488187.1384, 503880.495 488227.5858, 503896.2174 488251.3053, 503901.7038 488258.4308, 503908.7969 488266.2271, 503956.6064 488309.2055, 503954.5314 488311.6742, 503906.1746 488267.8375, 503899.8276 488260.4588, 503894.0984 488252.8381, 503887.0786 488242.372, 503871.3307 488216.3144, 503854.954 488188.673))"
SCARBRO_5,SCARBRO,5,1995-01-01,0,False,True,107880,117,107880117,503899.7070622814,488253.98324574926,2,"POLYGON ((503856.9884 488187.1384, 503859.2609 488186.0209, 503884.0051 488227.3311, 503897.7673 488249.0139, 503901.2317 488254.246, 503903.2662 488256.7408, 503910.9215 488264.4496, 503958.4562 488307.7669, 503956.6064 488309.2055, 503908.7969 488266.2271, 503901.7038 488258.4308, 503896.2174 488251.3053, 503880.495 488227.5858, 503856.9884 488187.1384))"
SDON_1,SDON,1,1995-01-01,0,False,True,104910,7,104910007,414978.31047475286,185248.4797163606,2,"POLYGON ((415114.7546 185307.7337, 415064.4651 185287.2655, 415039.0387 185276.0798, 415018.0612 185265.2633, 414906.3278 185200.407, 414905.0033 185202.9501, 414902.442 185206.5572, 414873.7671 185189.5462, 414849.5281 185174.9728, 414848.2055 185176.9152, 414857.5449 185183.204, 414864.3386 185187.717, 414882.0104 185198.501, 414892.1825 185204.4475, 414907.3846 185213.545, 414961.746 185245.2789, 414967.7592 185248.7999, 414982.2015 185256.9056, 414996.9148 185264.7452, 415005.4343 185269.23, 415017.7676 185275.5501, 415031.5222 185281.7521, 415040.9166 185285.6946, 415050.2085 185289.1142, 415060.6433 185292.8263, 415096.2876 185303.6196, 415113.8002 185309.3435, 415114.7546 185307.7337))"
