TIPLOC_PlatformID,TIPLOC,PlatformID,StartDate,PlatformLength,PassengerDOO,NonPassengerDOO,index_TIPLOC,index_PlatformID,index,Easting,Northing,Quality
GLGC_7F,GLGC,7F,2016-05-15,0,False,False,10521,144,10521144,258761.20711825386,665177.9685874215,1
GLGC_8,GLGC,8,1995-01-01,0,False,True,10521,151,10521151,258757.35040000002,665170.931,2
GLGC_8F,GLGC,8F,2016-05-15,0,False,False,10521,157,10521157,258757.35040000002,665170.931,1
GLGC_9,GLGC,9,1995-01-01,0,False,True,10521,163,10521163,258743.61150694426,665043.0416270728,2
GLGC_9F,GLGC,9F,2016-05-15,0,False,False,10521,169,10521169,258743.61150694426,665043.0416270728,1
GLGHST_1,GLGHST,1,2013-08-12,0,False,False,10537,7,10537007,259921.74875613506,665142.4126701433,2
GLGHST_2,GLGHST,2,2013-08-12,0,False,False,10537,70,10537070,259930.5070371086,665150.5246809842,2
GLGQHL_1,GLGQHL,1,1995-01-01,0,False,True,10526,7,10526007,259202.10590422215,665633.3519729467,2
GLGQHL_2,GLGQHL,2,1995-01-01,0,False,True,10526,70,10526070,259198.91927531915,665600.537359297,2
GLGQHL_3,GLGQHL,3,1995-01-01,0,False,True,10526,90,10526090,259207.98172901705,665580.1750749036,2
GLGQHL_4,GLGQHL,4,1999-01-01,0,False,False,10526,104,10526104,259210.41833037292,665579.4751141429,2
GLGQHL_5,GLGQHL,5,1995-01-01,0,False,True,10526,117,10526117,259226.64192549186,665590.2462744068,2
GLGQHL_6,GLGQHL,6,1995-01-01,0,False,True,10526,128,10526128,259231.6120719008,665596.221151546,2
GLGQHL_7,GLGQHL,7,1995-01-01,0,False,True,10526,140,10526140,259248.21780242884,665604.04447215,2
GLGQLL_8,GLGQLL,8,2015-12-13,0,False,False,10530,151,10530151,259227.5856335142,665532.124715282,2
GLGQLL_9,GLGQLL,9,2015-12-13,0,False,False,10530,163,10530163,259230.28790774988,665544.5646179868,2
GLHM_1,GLHM,1,1995-01-01,0,False,False,12268,7,12268007,381032.63957781944,126127.11786059644,2
GLHM_2,GLHM,2,1995-01-01,0,False,False,12268,70,12268070,381037.7884138166,126121.28374389987,2
GLNEGLS_1,GLNEGLS,1,2019-12-15,0,False,False,10935,7,10935007,292917.3776002904,710505.2103660911,2
GLNEGLS_2,GLNEGLS,2,2019-12-15,0,False,False,10935,70,10935070,292909.00299905,710513.2348171722,2
GLNFNNN_1,GLNFNNN,1,2019-05-19,0,False,False,10053,7,10053007,189868.36596992912,780980.3002895538,2
GLNFNNN_2,GLNFNNN,2,2019-05-19,0,False,False,10053,70,10053070,189875.47139916682,780986.6493634842,2
GLNGHMK_1,GLNGHMK,1,2003-09-28,0,False,False,15663,7,15663007,577665.8962135167,168406.05208976392,2
GLNGHMK_2,GLNGHMK,2,1995-01-01,0,False,False,15663,70,15663070,577664.4967489986,168410.51440131568,2
GLNGHMK_3,GLNGHMK,3,2003-09-28,0,False,False,15663,90,15663090,577646.8746715757,168415.1402999294,2
GLNRTHS_1,GLNRTHS,1,2005-12-06,0,False,False,11368,7,11368007,329127.0881418468,697210.4337828921,2
GLNRTHS_2,GLNRTHS,2,2005-12-06,0,False,False,11368,70,11368070,329128.65807427117,697219.7093592283,2
GLOSTER_1,GLOSTER,1,1995-01-01,0,False,True,12297,7,12297007,383786.3013576222,218484.75021299708,2
GLOSTER_2,GLOSTER,2,1995-01-01,0,False,True,12297,70,12297070,383786.3013576222,218484.75021299708,2
GLOSTER_3,GLOSTER,3,1995-01-01,0,False,False,12297,90,12297090,383609.0721356936,218648.4700446755,2
GLOSTER_4,GLOSTER,4,1995-01-01,0,False,True,12297,104,12297104,383696.40393551544,218580.32313585165,2
GLSP_1,GLSP,1,1995-01-01,175,False,True,12667,7,12667007,403414.2283412784,394226.4366903808,2
GNLN_1,GNLN,1,1995-01-01,0,False,True,11478,7,11478007,332499.96855,387851.14865,2
GNLN_2,GNLN,2,1995-01-01,0,False,True,11478,70,11478070,332506.4446,387852.9925,2
