route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
NC29399230521231203_route,ZZ,ZZ_NC29399230521231203,,,2,,,
NC29400230521231203_route,ZZ,ZZ_NC29400230521231203,,,2,,,
NC29476230521231203_route,ZZ,ZZ_NC29476230521231203,,,2,,,
NC29479230521231203_route,ZZ,ZZ_NC29479230521231203,,,2,,,
NC29482230521231203_route,ZZ,ZZ_NC29482230521231203,,,2,,,
NC29484230521231203_route,ZZ,ZZ_NC29484230521231203,,,2,,,
NC29486230521231203_route,ZZ,ZZ_NC29486230521231203,,,2,,,
NC29493230521231203_route,ZZ,ZZ_NC29493230521231203,,,2,,,
NC29499230521231203_route,ZZ,ZZ_NC29499230521231203,,,2,,,
NC40540230521231203_route,XR,XR_NC40540230521231203,,,2,,,
NC40544230521231203_route,XR,XR_NC40544230521231203,,,2,,,
NC40546230521231203_route,XR,XR_NC40546230521231203,,,2,,,
NC40550230521231203_route,XR,XR_NC40550230521231203,,,2,,,
NC40551230521231203_route,XR,XR_NC40551230521231203,,,2,,,
NC40552230521231203_route,XR,XR_NC40552230521231203,,,2,,,
NC40553230521231203_route,XR,XR_NC40553230521231203,,,2,,,
NC40555230521231203_route,XR,XR_NC40555230521231203,,,2,,,
NC40556230521231203_route,XR,XR_NC40556230521231203,,,2,,,
NC40557230521231203_route,XR,XR_NC40557230521231203,,,2,,,
NC40558230521231203_route,XR,XR_NC40558230521231203,,,2,,,
NC40559230521231203_route,XR,XR_NC40559230521231203,,,2,,,
NC40560230521231203_route,XR,XR_NC40560230521231203,,,2,,,
NC40561230521231203_route,XR,XR_NC40561230521231203,,,2,,,
NC40562230521231203_route,XR,XR_NC40562230521231203,,,2,,,
NC40563230521231203_route,XR,XR_NC40563230521231203,,,2,,,
NC41136230521231203_route,XR,XR_NC41136230521231203,,,2,,,
NC41137230521231203_route,XR,XR_NC41137230521231203,,,2,,,
NC41138230521231203_route,XR,XR_NC41138230521231203,,,2,,,
NC41140230521231203_route,XR,XR_NC41140230521231203,,,2,,,
NC41143230521231203_route,XR,XR_NC41143230521231203,,,2,,,
NC41144230521231203_route,XR,XR_NC41144230521231203,,,2,,,
NC41145230521231203_route,XR,XR_NC41145230521231203,,,2,,,
NC41146230521231203_route,XR,XR_NC41146230521231203,,,2,,,
NC41147230521231203_route,XR,XR_NC41147230521231203,,,2,,,
NC41148230521231203_route,XR,XR_NC41148230521231203,,,2,,,
NC41161230521231203_route,XR,XR_NC41161230521231203,,,2,,,
NC41163230521231203_route,XR,XR_NC41163230521231203,,,2,,,
NC41168230521231203_route,XR,XR_NC41168230521231203,,,2,,,
NC41169230521231203_route,XR,XR_NC41169230521231203,,,2,,,
NC41172230521231203_route,XR,XR_NC41172230521231203,,,2,,,
NC41173230521231203_route,XR,XR_NC41173230521231203,,,2,,,
NC41309230521231203_route,XR,XR_NC41309230521231203,,,2,,,
NC41310230521231203_route,XR,XR_NC41310230521231203,,,2,,,
NC41315230521231203_route,XR,XR_NC41315230521231203,,,2,,,
NC41316230521231203_route,XR,XR_NC41316230521231203,,,2,,,
NC41320230521231203_route,XR,XR_NC41320230521231203,,,2,,,
NC41321230521231203_route,XR,XR_NC41321230521231203,,,2,,,
NC41327230521231203_route,XR,XR_NC41327230521231203,,,2,,,
NC41328230521231203_route,XR,XR_NC41328230521231203,,,2,,,
NC41332230521231203_route,XR,XR_NC41332230521231203,,,2,,,
NC41333230521231203_route,XR,XR_NC41333230521231203,,,2,,,
NC41336230521231203_route,XR,XR_NC41336230521231203,,,2,,,
NC41337230521231203_route,XR,XR_NC41337230521231203,,,2,,,
NC41341230521231203_route,XR,XR_NC41341230521231203,,,2,,,
NC41342230521231203_route,XR,XR_NC41342230521231203,,,2,,,
NC41346230521231203_route,XR,XR_NC41346230521231203,,,2,,,
NC41347230521231203_route,XR,XR_NC41347230521231203,,,2,,,
NC41349230521231203_route,XR,XR_NC41349230521231203,,,2,,,
NC41352230521231203_route,XR,XR_NC41352230521231203,,,2,,,
NC41353230521231203_route,XR,XR_NC41353230521231203,,,2,,,
NC41355230521231203_route,XR,XR_NC41355230521231203,,,2,,,
NC41358230521231203_route,XR,XR_NC41358230521231203,,,2,,,
NC41359230521231203_route,XR,XR_NC41359230521231203,,,2,,,
NC41361230521231203_route,XR,XR_NC41361230521231203,,,2,,,
NC41367230521231203_route,XR,XR_NC41367230521231203,,,2,,,
NC41368230521231203_route,XR,XR_NC41368230521231203,,,2,,,
NC41370230521231203_route,XR,XR_NC41370230521231203,,,2,,,
NC41377230521231203_route,XR,XR_NC41377230521231203,,,2,,,
NC41378230521231203_route,XR,XR_NC41378230521231203,,,2,,,
NC41384230521231203_route,XR,XR_NC41384230521231203,,,2,,,
NC41385230521231203_route,XR,XR_NC41385230521231203,,,2,,,
NC41391230521231203_route,XR,XR_NC41391230521231203,,,2,,,
NC41393230521231203_route,XR,XR_NC41393230521231203,,,2,,,
NC41399230521231203_route,XR,XR_NC41399230521231203,,,2,,,
NC41401230521231203_route,XR,XR_NC41401230521231203,,,2,,,
NC41406230521231203_route,XR,XR_NC41406230521231203,,,2,,,
NC41409230521231203_route,XR,XR_NC41409230521231203,,,2,,,
NC41413230521231203_route,XR,XR_NC41413230521231203,,,2,,,
NC41415230521231203_route,XR,XR_NC41415230521231203,,,2,,,
NC41418230521231203_route,XR,XR_NC41418230521231203,,,2,,,
NC41419230521231203_route,XR,XR_NC41419230521231203,,,2,,,
NC41421230521231203_route,XR,XR_NC41421230521231203,,,2,,,
NC41424230521231203_route,XR,XR_NC41424230521231203,,,2,,,
NC41425230521231203_route,XR,XR_NC41425230521231203,,,2,,,
