stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
110353000,PURF176,Platform Unknown,177531.447,557609.6943,0,110353
110354000,SIXMBTM,Platform Unknown,256780.2509,557660.051,0,110354
110355000,TONB525,Platform Unknown,146027.7635,557706.892,0,110355
110356000,TONBPMY,Platform Unknown,146042.6665,557838.8588,0,110356
110357000,POLG373,Platform Unknown,104805.7368,557867.1428,0,110357
110358000,THMSMTX,Platform Unknown,177491.7601,557953.9821,0,110358
110359000,TONB137,Platform Unknown,146684.0972,557989.9486,0,110359
110360000,TONBDWY,Platform Unknown,146105.9244,557999.1942,0,110360
110361000,TONBDWG,Platform Unknown,146098.7461,557999.2051,0,110361
110362000,WTHRGBR,Platform Unknown,177472.9505,558072.6199,0,110362
110363000,WTHRCKS,Platform Unknown,177468.5737,558082.2091,0,110363
110364000,WTHRFHH,Platform Unknown,177471.8812,558095.5215,0,110364
110365000,WTHRCKH,Platform Unknown,177477.7427,558138.3584,0,110365
110366000,TONBDMS,Platform Unknown,146183.4891,558203.6341,0,110366
110367000,TONB139,Platform Unknown,146100.7368,558324.6183,0,110367
110368000,POLGATE,Platform Unknown,104803.9431,558327.8473,0,110368
110369000,TUNWELL,Platform Unknown,139152.1314,558446.1901,0,110369
110370000,GNHT,Platform Unknown,174845.1768,558552.8103,0,110370
110371000,TONBDG,Platform Unknown,146040.0273,558692.4272,0,110371
110371007,TONBDG_1,Platform 1,146026.3493164338,558638.3059662614,0,110371
110371070,TONBDG_2,Platform 2,146038.87163971225,558640.3610107051,0,110371
110371090,TONBDG_3,Platform 3,146050.64510573976,558652.3806417506,0,110371
110371104,TONBDG_4,Platform 4,146063.78129972678,558654.1328797014,0,110371
110372000,TUNWTJN,Platform Unknown,140189.7985,558710.5123,0,110372
110373000,SOHAM,Platform Unknown,273255.2587,558714.064,0,110373
110374000,TUNWTB,Platform Unknown,140351.4125,558820.9424,0,110374
110375000,HILGAY,Platform Unknown,295663.0019,558842.0032,0,110375
110376000,CHADHDD,Platform Unknown,178777.1593,558918.4022,0,110376
110376007,CHADHDD_1,Platform 1,178861.19010419823,558931.0347003984,0,110376
110377000,SOHA491,Platform Unknown,272517.8765,558924.232,0,110377
110378000,FAWKHMJ,Platform Unknown,169232.0917,558973.2124,0,110378
110379000,FAWKNRC,Platform Unknown,169226.2505,558974.3552,0,110379
110380000,OCKENDN,Platform Unknown,182812.8835,558983.425,0,110380
110380007,OCKENDN_1,Platform 1,182787.70205878164,558989.3174089984,0,110380
110380070,OCKENDN_2,Platform 2,182765.49445625694,558988.7393832743,0,110380
110381000,TONB032,Platform Unknown,146004.459,559010.4491,0,110381
110382000,TONB038,Platform Unknown,145876.8156,559135.7373,0,110382
110383000,TONB164,Platform Unknown,145987.3685,559174.1932,0,110383
110384000,TONBULP,Platform Unknown,145964.3906,559214.2455,0,110384
110385000,TONBLHS,Platform Unknown,145941.1004,559238.4596,0,110385
110386000,TONBES,Platform Unknown,145950.0272,559272.2433,0,110386
110387000,SMHLTUN,Platform Unknown,145282.5374,559277.6804,0,110387
110388000,STWHTNL,Platform Unknown,138165.2589,559290.4984,0,110388
110389000,BRTWOOD,Platform Unknown,193025.9594,559409.1189,0,110389
110389007,BRTWOOD_1,Platform 1,193017.68463160034,559384.9982677411,0,110389
110389070,BRTWOOD_2,Platform 2,193022.0487976877,559386.314811244,0,110389
110389090,BRTWOOD_3,Platform 3,193032.72326645924,559387.4954652839,0,110389
110389104,BRTWOOD_4,Platform 4,193036.2199240523,559386.5999525783,0,110389
110390000,HBROOMS,Platform Unknown,141445.2044,559436.0151,0,110390
110391000,TONBDLP,Platform Unknown,145937.2906,559513.2646,0,110391
110392000,TONBPOJ,Platform Unknown,145933.0064,559514.0061,0,110392
110393000,TONB160,Platform Unknown,145922.3086,559592.8106,0,110393
110394000,TONB163,Platform Unknown,145898.2631,559642.4665,0,110394
110395000,TONBPOS,Platform Unknown,145887.5403,559886.1296,0,110395
110396000,WTHRCKJ,Platform Unknown,177674.811,560024.5746,0,110396
