date,origin_station_code,destination_station_code,hour,journey_time_mean,departure_wait_time_mean,interchange_wait_time_mean,journey_time_50_pctl,journey_time_75_pctl,journey_time_95_pctl,journey_time_std,departure_wait_time_50_pctl,departure_wait_time_75_pctl,departure_wait_time_95_pctl,departure_wait_time_std,interchange_wait_time_50_pctl,interchange_wait_time_75_pctl,interchange_wait_time_95_pctl,interchange_wait_time_std,passenger_volume
2023-01-04,AAP,AAP,12,73,3.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,AAP,14,2,-6.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,AAP,15,1,4.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,BOP,9,1,3.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,BOP,11,7,3.0,,,,,,,,,,,,,,10.0
2023-01-04,AAP,BOP,13,10,6.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,BOP,14,38,6.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,BOP,15,6,6.0,,,,,,,,,,,,,,13.0
2023-01-04,AAP,BOP,16,16,9.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,CIR,7,11,13.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,CUF,10,23,1.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,CUF,15,27,12.0,,,,,,,,,,,,,,10.0
2023-01-04,AAP,CUF,16,32,24.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,ENC,15,22,5.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,ENC,16,24,2.0,,,,,,,,,,,,,,11.0
2023-01-04,AAP,FPK,7,10,12.0,0.0,,,,,,,,,,,,,197.0
2023-01-04,AAP,FPK,8,13,19.0,,,,,,,,,,,,,,43.0
2023-01-04,AAP,FPK,9,12,7.0,,,,,,,,,,,,,,26.0
2023-01-04,AAP,FPK,10,16,6.0,,,,,,,,,,,,,,30.0
2023-01-04,AAP,FPK,11,3,11.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,FPK,12,8,2.0,,,,,,,,,,,,,,16.0
2023-01-04,AAP,FPK,13,13,4.0,,,,,,,,,,,,,,16.0
2023-01-04,AAP,FPK,14,11,0.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,FPK,15,18,11.0,,,,,,,,,,,,,,29.0
2023-01-04,AAP,FPK,16,7,1.0,,,,,,,,,,,,,,12.0
2023-01-04,AAP,FPK,17,16,10.0,,,,,,,,,,,,,,29.0
2023-01-04,AAP,GDH,12,18,5.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,GDH,13,25,4.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,GPK,15,14,4.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,GPK,16,28,5.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,GPO,7,8,0.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,HAT,16,40,31.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,HAT,17,35,20.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,HDW,16,40,13.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,HDW,18,14,-12.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,HFN,8,40,5.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,HFN,14,39,3.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,HFN,15,54,21.0,27.0,,,,,,,,,,,,,4.42
2023-01-04,AAP,HFN,16,34,20.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,HFN,18,38,,,,,,,,,,,,,,,4.42
2023-01-04,AAP,HGY,7,4,4.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,HGY,8,11,14.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,HGY,9,6,13.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,HGY,13,9,9.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,HGY,14,8,8.0,,,,,,,,,,,,,,10.0
2023-01-04,AAP,HGY,15,25,9.0,14.0,,,,,,,,,,,,,4.42
2023-01-04,AAP,HGY,17,10,12.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,HPA,7,60,12.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,HRN,7,4,10.0,,,,,,,,,,,,,,27.0
2023-01-04,AAP,HRN,10,5,-3.0,,,,,,,,,,,,,,14.0
2023-01-04,AAP,HRN,11,1,-4.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,HRN,12,4,3.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,HRN,13,1,-2.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,HRN,14,2,5.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,HRN,15,10,11.0,,,,,,,,,,,,,,11.0
2023-01-04,AAP,HRN,16,8,1.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,HRN,17,3,5.0,,,,,,,,,,,,,,22.0
2023-01-04,AAP,KGX,7,22,25.0,,,,,,,,,,,,,,177.0
2023-01-04,AAP,KGX,8,22,7.0,,,,,,,,,,,,,,46.0
2023-01-04,AAP,KGX,9,21,12.0,,,,,,,,,,,,,,10.0
2023-01-04,AAP,KGX,10,33,2.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,KGX,11,17,8.0,,,,,,,,,,,,,,24.0
2023-01-04,AAP,KGX,12,20,3.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,KGX,13,14,-1.0,,,,,,,,,,,,,,15.0
2023-01-04,AAP,KGX,14,15,13.0,,,,,,,,,,,,,,10.0
2023-01-04,AAP,KGX,15,18,5.0,,,,,,,,,,,,,,12.0
2023-01-04,AAP,KGX,16,14,3.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,KGX,17,13,7.0,,,,,,,,,,,,,,11.0
2023-01-04,AAP,LET,17,62,19.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,NBA,7,23,15.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,NBA,8,17,6.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,NBA,9,16,4.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,NBA,10,27,7.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,NBA,12,29,-1.0,30.0,,,,,,,,,,,,,4.42
2023-01-04,AAP,NBA,13,17,15.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,NBA,15,27,17.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,NBA,16,26,21.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,NBA,17,34,6.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,NBA,18,21,31.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,NSG,7,1,-7.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,NSG,10,1,0.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,NSG,11,2,-9.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,NSG,13,28,7.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,NSG,14,2,-7.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,NSG,15,13,-4.0,,,,,,,,,,,,,,10.0
2023-01-04,AAP,NSG,16,7,8.0,,,,,,,,,,,,,,11.0
2023-01-04,AAP,NSG,17,8,10.0,,,,,,,,,,,,,,11.0
2023-01-04,AAP,NSG,18,2,6.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,OKL,12,24,-8.0,31.0,,,,,,,,,,,,,4.42
2023-01-04,AAP,OKL,14,9,8.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,OKL,17,45,8.0,26.0,,,,,,,,,,,,,4.42
2023-01-04,AAP,OKL,18,11,-13.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,PAL,14,2,12.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,PAL,15,13,14.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,PAL,18,3,-8.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,PBR,8,20,19.0,,,,,,,,,,,,,,11.0
2023-01-04,AAP,PBR,14,8,31.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,PBR,18,20,35.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,SVG,10,56,-8.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,SVG,11,34,38.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,WCY,8,57,6.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,WGC,7,31,14.0,,,,,,,,,,,,,,10.0
2023-01-04,AAP,WGC,17,20,-16.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,WIH,12,10,5.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,WIH,13,9,20.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,WIH,14,24,5.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,WMG,13,16,35.0,,,,,,,,,,,,,,4.42
2023-01-04,AAP,WMG,17,29,9.0,,,,,,,,,,,,,,4.42
2023-01-04,ABE,ABE,12,4,15.0,,,,,,,,,,,,,,4.42
2023-01-04,ABE,BGD,12,62,,,,,,,,,,,,,,,4.42
2023-01-04,ABE,BGD,16,25,7.0,,,,,,,,,,,,,,4.42
2023-01-04,ABE,BGD,17,21,-14.0,,,,,,,,,,,,,,4.42
2023-01-04,ABE,BHD,13,24,-1.0,,,,,,,,,,,,,,4.42
2023-01-04,ABE,CPH,8,5,7.0,,,,,,,,,,,,,,13.0
2023-01-04,ABE,CPH,9,16,,,,,,,,,,,,,,,4.42
2023-01-04,ABE,CPH,10,3,17.0,,,,,,,,,,,,,,14.0
2023-01-04,ABE,CPH,12,4,9.0,,,,,,,,,,,,,,29.0
2023-01-04,ABE,CPH,13,1,7.0,,,,,,,,,,,,,,4.42
2023-01-04,ABE,CPH,14,3,,,,,,,,,,,,,,,4.42
2023-01-04,ABE,CPH,15,2,-13.0,,,,,,,,,,,,,,10.0
2023-01-04,ABE,CPH,16,4,-12.0,,,,,,,,,,,,,,15.0
2023-01-04,ABE,CPH,17,1,-4.0,,,,,,,,,,,,,,12.0
2023-01-04,ABE,ECP,10,9,2.0,,,,,,,,,,,,,,4.42
2023-01-04,ABE,ECP,11,9,8.0,,,,,,,,,,,,,,4.42
2023-01-04,ABE,ECP,12,7,-10.0,,,,,,,,,,,,,,13.0
2023-01-04,ABE,ECP,13,13,28.0,,,,,,,,,,,,,,14.0
