date,origin_station_code,destination_station_code,hour,journey_time_mean,departure_wait_time_mean,interchange_wait_time_mean,journey_time_50_pctl,journey_time_75_pctl,journey_time_95_pctl,journey_time_std,departure_wait_time_50_pctl,departure_wait_time_75_pctl,departure_wait_time_95_pctl,departure_wait_time_std,interchange_wait_time_50_pctl,interchange_wait_time_75_pctl,interchange_wait_time_95_pctl,interchange_wait_time_std,passenger_volume
2023-01-03,AAP,AAP,8,15,17.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,AAP,14,15,1.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,AAP,17,24,-6.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,BOP,9,2,6.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,CIR,7,6,3.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,CUF,8,27,7.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,CUF,15,32,75.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,ENC,14,42,-8.0,32.0,,,,,,,,,,,,,4.42
2023-01-03,AAP,ENC,15,23,-1.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,ENC,16,42,19.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,FPK,7,7,16.0,,,,,,,,,,,,,,202.0
2023-01-03,AAP,FPK,8,8,0.0,,,,,,,,,,,,,,98.0
2023-01-03,AAP,FPK,9,10,10.0,,,,,,,,,,,,,,19.0
2023-01-03,AAP,FPK,10,9,2.0,,,,,,,,,,,,,,25.0
2023-01-03,AAP,FPK,11,14,11.0,,,,,,,,,,,,,,14.0
2023-01-03,AAP,FPK,12,13,3.0,,,,,,,,,,,,,,23.0
2023-01-03,AAP,FPK,13,11,26.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,FPK,14,18,8.0,,,,,,,,,,,,,,16.0
2023-01-03,AAP,FPK,15,6,10.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,FPK,16,16,5.0,,,,,,,,,,,,,,22.0
2023-01-03,AAP,FPK,17,4,-2.0,,,,,,,,,,,,,,41.0
2023-01-03,AAP,GDH,8,21,17.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,GIP,16,51,-19.0,-9.0,,,,,,,,,,,,,4.42
2023-01-03,AAP,GPK,15,14,6.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,GPK,17,25,-5.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,HDW,8,23,11.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,HDW,16,34,4.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,HDW,17,8,-11.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,HEN,7,21,16.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,HFN,16,46,14.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,HFN,17,38,6.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,HGY,7,11,75.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,HGY,8,5,4.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,HGY,9,18,16.0,,,,,,,,,,,,,,12.0
2023-01-03,AAP,HGY,10,2,7.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,HGY,11,15,18.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,HGY,12,40,12.0,13.0,,,,,,,,,,,,,4.42
2023-01-03,AAP,HGY,13,28,12.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,HGY,15,4,14.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,HGY,16,1,2.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,HGY,17,13,8.0,,,,,,,,,,,,,,14.0
2023-01-03,AAP,HRN,7,7,12.0,,,,,,,,,,,,,,33.0
2023-01-03,AAP,HRN,8,1,3.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,HRN,11,6,0.0,,,,,,,,,,,,,,13.0
2023-01-03,AAP,HRN,12,4,-6.0,,,,,,,,,,,,,,11.0
2023-01-03,AAP,HRN,13,6,-2.0,,,,,,,,,,,,,,11.0
2023-01-03,AAP,HRN,14,4,12.0,,,,,,,,,,,,,,12.0
2023-01-03,AAP,HRN,15,5,5.0,,,,,,,,,,,,,,16.0
2023-01-03,AAP,HRN,16,2,-2.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,HRN,17,11,22.0,,,,,,,,,,,,,,13.0
2023-01-03,AAP,KGX,7,12,17.0,,,,,,,,,,,,,,214.0
2023-01-03,AAP,KGX,8,16,6.0,1.0,,,,,,,,,,,,,94.0
2023-01-03,AAP,KGX,9,14,9.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,KGX,10,25,13.0,,,,,,,,,,,,,,20.0
2023-01-03,AAP,KGX,11,16,-2.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,KGX,12,13,9.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,KGX,13,12,3.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,KGX,14,16,2.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,KGX,15,21,4.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,KGX,16,57,3.0,23.0,,,,,,,,,,,,,4.42
2023-01-03,AAP,KGX,17,6,-8.0,,,,,,,,,,,,,,13.0
2023-01-03,AAP,NBA,10,39,18.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,NBA,11,31,27.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,NBA,12,22,4.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,NBA,14,29,37.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,NBA,15,17,20.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,NBA,16,39,19.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,NBA,17,15,13.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,NSG,10,1,8.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,NSG,11,2,-5.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,NSG,12,11,9.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,NSG,13,13,5.0,,,,,,,,,,,,,,10.0
2023-01-03,AAP,NSG,14,7,5.0,,,,,,,,,,,,,,11.0
2023-01-03,AAP,NSG,15,11,3.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,NSG,16,25,15.0,6.0,,,,,,,,,,,,,15.0
2023-01-03,AAP,NSG,17,14,7.0,,,,,,,,,,,,,,19.0
2023-01-03,AAP,NSG,18,10,9.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,OKL,7,12,17.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,OKL,9,31,20.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,OKL,14,16,20.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,OKL,15,18,9.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,PAL,8,28,8.0,29.0,,,,,,,,,,,,,4.42
2023-01-03,AAP,PAL,11,21,12.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,PAL,14,10,24.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,PAL,15,8,-7.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,PAL,16,31,49.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,PAL,17,9,1.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,PBR,14,40,10.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,PBR,16,46,12.0,31.0,,,,,,,,,,,,,4.42
2023-01-03,AAP,SQE,14,13,19.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,WGC,7,37,11.0,,,,,,,,,,,,,,4.42
2023-01-03,AAP,WIH,10,7,-20.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,ABE,10,33,27.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,ABE,11,17,5.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,ABE,12,13,9.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,ABE,15,5,-18.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,BGD,10,56,17.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,BGD,15,23,7.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,BGD,17,46,,,,,,,,,,,,,,,4.42
2023-01-03,ABE,BHD,17,42,,,,,,,,,,,,,,,4.42
2023-01-03,ABE,CPH,8,2,3.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,CPH,9,3,0.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,CPH,10,15,,,,,,,,,,,,,,,4.42
2023-01-03,ABE,CPH,12,0,-17.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,CPH,13,0,-8.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,CPH,14,4,-12.0,,,,,,,,,,,,,,13.0
2023-01-03,ABE,CPH,15,1,-17.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,CPH,16,5,,,,,,,,,,,,,,,4.42
2023-01-03,ABE,CPH,17,2,0.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,ECP,10,3,-2.0,,,,,,,,,,,,,,11.0
2023-01-03,ABE,ECP,11,11,,,,,,,,,,,,,,,4.42
2023-01-03,ABE,ECP,12,8,0.0,,,,,,,,,,,,,,10.0
2023-01-03,ABE,ECP,13,11,16.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,ECP,14,3,17.0,,,,,,,,,,,,,,10.0
2023-01-03,ABE,ECP,15,3,-16.0,,,,,,,,,,,,,,15.0
2023-01-03,ABE,ECP,16,5,,,,,,,,,,,,,,,4.42
2023-01-03,ABE,ECP,17,5,3.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,GFF,13,26,-3.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,GFF,17,27,11.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,HHL,8,26,16.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,HHL,9,14,21.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,HHL,11,32,19.0,,,,,,,,,,,,,,11.0
2023-01-03,ABE,HHL,12,33,28.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,HHL,13,16,29.0,,,,,,,,,,,,,,11.0
2023-01-03,ABE,HHL,14,20,5.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,HNG,10,10,0.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,HNG,12,20,,,,,,,,,,,,,,,4.42
2023-01-03,ABE,HNG,13,7,13.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,HNG,14,9,12.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,HNG,15,12,-7.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,HNG,16,58,31.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,LLS,11,10,-2.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,LLS,13,11,-1.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,LLS,14,13,-11.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,LLS,15,11,6.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,LLS,17,9,-5.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,LNB,10,20,3.0,,,,,,,,,,,,,,10.0
2023-01-03,ABE,LNB,11,14,50.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,LNB,12,3,6.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,LNB,13,25,9.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,LNB,14,7,4.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,LNB,15,14,8.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,LNB,16,6,,,,,,,,,,,,,,,4.42
2023-01-03,ABE,LVT,8,14,30.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,LVT,12,7,,,,,,,,,,,,,,,4.42
2023-01-03,ABE,LVT,14,7,-11.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,LVT,16,41,24.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,LVT,17,14,-12.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,PGM,10,9,-9.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,PGM,11,30,6.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,PGM,12,33,-17.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,PGM,14,26,9.0,,,,,,,,,,,,,,19.0
2023-01-03,ABE,PGM,15,44,-18.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,PLT,15,26,11.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,RHY,10,47,18.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,TIR,17,23,-15.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,YSM,10,10,8.0,,,,,,,,,,,,,,15.0
2023-01-03,ABE,YSM,11,22,18.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,YSM,12,9,13.0,,,,,,,,,,,,,,11.0
2023-01-03,ABE,YSM,13,19,1.0,,,,,,,,,,,,,,19.0
2023-01-03,ABE,YSM,14,14,3.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,YSM,15,14,-9.0,,,,,,,,,,,,,,19.0
2023-01-03,ABE,YSM,16,28,42.0,,,,,,,,,,,,,,4.42
2023-01-03,ABE,YSM,17,13,8.0,,,,,,,,,,,,,,4.42
2023-01-03,ABW,ABW,8,14,-13.0,12.0,,,,,,,,,,,,,4.42
2023-01-03,ABW,ABW,9,33,12.0,-4.0,,,,,,,,,,,,,12.0
2023-01-03,ABW,ABW,10,19,2.0,-5.0,,,,,,,,,,,,,4.42
2023-01-03,ABW,ABW,11,31,-16.0,-11.0,,,,,,,,,,,,,15.0
2023-01-03,ABW,ABW,12,7,-12.0,,,,,,,,,,,,,,4.42
2023-01-03,ABW,ABW,13,22,-1.0,-1.0,,,,,,,,,,,,,10.0
2023-01-03,ABW,ABW,14,50,4.0,12.0,,,,,,,,,,,,,4.42
2023-01-03,ABW,ABW,15,24,-11.0,-8.0,,,,,,,,,,,,,4.42
2023-01-03,ABW,ABW,16,42,2.0,15.0,,,,,,,,,,,,,4.42
2023-01-03,ABW,ABW,17,3,-13.0,-5.0,,,,,,,,,,,,,4.42
2023-01-03,ABW,AML,13,54,17.0,19.0,,,,,,,,,,,,,4.42
2023-01-03,ABW,BDS,5,34,15.0,,,,,,,,,,,,,,4.42
2023-01-03,ABW,BDS,6,29,11.0,,,,,,,,,,,,,,30.0
2023-01-03,ABW,BDS,7,25,10.0,,,,,,,,,,,,,,28.0
2023-01-03,ABW,BDS,8,33,10.0,,,,,,,,,,,,,,44.0
2023-01-03,ABW,BDS,9,39,13.0,,,,,,,,,,,,,,4.42
2023-01-03,ABW,BDS,10,26,13.0,,,,,,,,,,,,,,4.42
2023-01-03,ABW,BDS,11,34,13.0,,,,,,,,,,,,,,4.42
2023-01-03,ABW,BDS,12,28,,,,,,,,,,,,,,,4.42
2023-01-03,ABW,BDS,14,16,11.0,,,,,,,,,,,,,,4.42
2023-01-03,ABW,BDS,23,18,7.0,,,,,,,,,,,,,,4.42
2023-01-03,ABW,BKG,8,43,5.0,,,,,,,,,,,,,,4.42
2023-01-03,ABW,BSY,8,20,5.0,,,,,,,,,,,,,,4.42
2023-01-03,ABW,BVD,8,6,14.0,,,,,,,,,,,,,,35.0
2023-01-03,ABW,BVD,9,6,7.0,,,,,,,,,,,,,,61.0
2023-01-03,ABW,BVD,10,6,4.0,-1.0,,,,,,,,,,,,,53.0
2023-01-03,ABW,BVD,11,7,0.0,,,,,,,,,,,,,,46.0
2023-01-03,ABW,BVD,12,7,9.0,,,,,,,,,,,,,,47.0
2023-01-03,ABW,BVD,13,9,5.0,,,,,,,,,,,,,,69.0
2023-01-03,ABW,BVD,14,6,1.0,,,,,,,,,,,,,,87.0
2023-01-03,ABW,BVD,15,6,-1.0,,,,,,,,,,,,,,102.0
2023-01-03,ABW,BVD,16,4,3.0,,,,,,,,,,,,,,42.0
2023-01-03,ABW,BVD,17,6,2.0,,,,,,,,,,,,,,82.0
2023-01-03,ABW,BVD,18,7,6.0,,,,,,,,,,,,,,76.0
2023-01-03,ABW,CLP,16,90,4.0,,,,,,,,,,,,,,4.42
2023-01-03,ABW,CTN,7,19,12.0,,,,,,,,,,,,,,19.0
