TIPLOC_x,LocationName_x,StartDate,Easting,Northing,TimingPointType,ZoneResponsible,STANOX,OffNetwork,Quality,index,TIPLOC_y,LocationName_y
KLYNNDF,Kings Lynn Dalgetty & Fkln,1995-01-01,561400.0,320700.0,O,3,46243,False,2,15536,KLYNNDF,Kings Lynn Dalgetty & Fkln
KLYNNFP,Kings Lynn F.P.,1995-01-01,562301.0,320076.0,O,3,46220,False,3,15543,KLYNN*,Kings Lynn*
KLYNNJN,Kings Lynn Jn,1995-01-01,561400.0,320500.0,O,3,46223,False,2,15535,KLYNNJN,Kings Lynn Jn
KLYNNTC,Kings Lynn T.C.,1995-01-01,561400.0,320400.0,O,3,46222,False,2,15534,KLYNN*,Kings Lynn *
KMPSTNH,Kempston Hardwick,1995-01-01,502593.0,244819.0,O,5,62040,False,4,14231,KMPSTNH,Kempston Hardwick
KMPTNPK,Kempton Park,1995-01-01,510671.0,170307.0,O,3,87154,False,4,14359,KMPTNPK,Kempton Park
KMSLY,Kemsley,1995-01-01,590526.0,166148.0,O,3,89109,False,4,15737,*,*
KNCKHLT,Knockholt,1995-01-01,548500.0,162900.0,O,3,89341,False,4,15396,KNCKHLT,Knockholt
KNCRAIG,Kincraig,1995-01-01,283200.0,805800.0,O,9,1145,False,2,10853,KNCRAIG,Kincraig
KNEBWTH,Knebworth,1995-01-01,524908.0,220250.0,O,8,53228,False,4,14697,KNEBWTH,Knebworth
KNGSBCJ,Kingsbury Branch Jn,1995-01-01,421900.0,297000.0,O,5,66023,False,2,12945,KNGSBCJ,Kingsbury Branch Jn
KNGSBOS,Kingsbury Oil Sdgs,1995-01-01,422400.0,297600.0,O,5,66026,False,2,12949,KNGSBOS,Kingsbury Oil Sdgs
KNGSBSF,Kingsbury S.F.,1995-01-01,421900.0,297100.0,O,5,66027,False,2,12946,KNGSBSF,Kingsbury S.F.
KNGSBYJ,Kingsbury Jn,1995-01-01,421900.0,294900.0,T,5,66031,False,2,12943,KNGSBYJ,Kingsbury Jn
KNGSBYY,Kingsbury Sdgs,1995-01-01,421900.0,296900.0,O,5,66029,False,2,12944,KNGSBYY,Kingsbury Sdgs
KNGW,Kingsknowe,1995-01-01,321040.0,670248.0,O,9,4118,False,4,11267,KNGW,Kingsknowe
KNGX,London Kings Cross,1995-01-01,530300.0,183000.0,T,8,54311,False,4,14877,KNGX,London Kings Cross
KNGXFTJ,Copenhagen Junction,1995-01-01,530400.0,184300.0,O,8,54315,False,2,14880,KNGXFTJ,Copenhagen Junction
KNIGHTN,Knighton,1995-01-01,329100.0,272400.0,O,5,79087,False,4,11365,KNIGHTN,Knighton
KNLY,Kenley,1995-01-01,532420.0,160120.0,O,3,87810,False,4,14966,KNLY,Kenley
KNLYBUS,Kenley (A22),1995-01-01,532400.0,160000.0,O,3,0,False,2,14963,KNLYBUS,Kenley (A22)
KNMTSB,Kennethmont,1995-01-01,354000.0,829500.0,O,9,2024,False,2,11892,KNMTSB,Kennethmont
KNNGTNJ,Kennington Jn,1995-01-01,452200.0,202900.0,O,4,74438,False,2,13552,KNNGTNJ,Kennington Jn
KNOK15,Knockshinnoch Sig NC15,2012-09-12,260500.0,612200.0,O,9,8831,False,1,10554,KNOK*,Knockshinnoch *
KNOKSCH,Knockshinnoch Washery,1995-01-01,260500.0,612200.0,O,9,8831,False,2,10554,KNOK*,Knockshinnoch *
KNORCT,Kings Norton C.T.,1995-01-01,404200.0,279500.0,O,5,66511,False,2,12678,KNORCT,Kings Norton C.T.
KNORTON,Kings Norton,1995-01-01,404700.0,279590.0,T,5,66510,False,4,12684,KNORTON,Kings Norton
KNOWDL,Dale Lane G.F.,2001-09-04,342270.0,400195.0,O,6,36048,False,2,11688,KNOWDL,Dale Lane G.F.
KNOWFT,Knowsley Freight Terminal,2001-09-04,342275.0,400115.0,M,6,36047,False,2,11689,KNOWFT,Knowsley Freight Terminal
KNRSBGH,Knaresborough,1995-01-01,434805.0,457130.0,O,7,16113,False,4,13165,KNRSBGH,Knaresborough
KNTB103,Kintbury Signal RK103,2005-12-06,438635.0,167200.0,M,4,74805,False,3,13246,KNTB*,Kintbury*
KNTB57,Kintbury Signal UW57,2005-12-06,438635.0,167200.0,M,4,74805,False,3,13246,KNTB*,Kintbury*
KNTB848,Kintbury Signal R848,2005-12-06,438635.0,167200.0,M,4,74805,False,3,13246,KNTB*,Kintbury*
KNTBRY,Kintbury,1995-01-01,438635.0,167200.0,O,4,74805,False,4,13246,KNTB*,Kintbury*
KNTN402,Knottingley Sig FE6402,1995-01-01,449000.0,423500.0,O,7,18017,False,2,13473,KNTN402,Knottingley Sig FE6402
KNTNELL,Knottingley England Lane,1995-01-01,449000.0,423200.0,O,7,18013,False,2,13470,KNTNELL,Knottingley England Lane
KNTNGEJ,Knottingley East Jn,1995-01-01,449000.0,423300.0,T,7,18015,False,2,13471,KNTNGEJ,Knottingley East Jn
